Año,Provincia,Segmento,Empresas,Ventas_Mill_(Usd)
2019,Guayas,Grande,90,4183.19
2019,Guayas,Mediana,202,474.74
2019,Guayas,Microempresa,993,12.22
2019,Guayas,Pequeña,457,155.62
2019,Pichincha,Grande,82,5450.02
2019,Pichincha,Mediana,158,348.4
2019,Pichincha,Microempresa,571,8.41
2019,Pichincha,Pequeña,370,128.59
2020,Guayas,Grande,77,3754.85
2020,Guayas,Mediana,191,452.6
2020,Guayas,Microempresa,1154,14.93
2020,Guayas,Pequeña,442,152.77
2020,Pichincha,Grande,65,4940.14
2020,Pichincha,Mediana,151,369.6
2020,Pichincha,Microempresa,732,10.67
2020,Pichincha,Pequeña,367,129.87
2021,Guayas,Grande,94,4529.65
2021,Guayas,Mediana,185,448.3
2021,Guayas,Microempresa,1384,15.44
2021,Guayas,Pequeña,517,181.73
2021,Pichincha,Grande,87,5283.32
2021,Pichincha,Mediana,156,359.73
2021,Pichincha,Microempresa,997,11.54
2021,Pichincha,Pequeña,431,146.13
2022,Guayas,Grande,115,6342.13
2022,Guayas,Mediana,195,452.55
2022,Guayas,Microempresa,1378,17.12
2022,Guayas,Pequeña,520,187.4
2022,Pichincha,Grande,94,5837.54
2022,Pichincha,Mediana,153,346.14
2022,Pichincha,Microempresa,973,14.85
2022,Pichincha,Pequeña,465,163.52
