Año,Provincia,Segmento,Ingresos_ventas,Costos_ventas_prod,Utilidad_neta,Margen_bruto,Margen_neto
2019,Guayas,Grande,4183193328.7000003,3045806976.07,151881366.2,0.272,0.036
2019,Guayas,Mediana,474739612.39,342560360.76,10598920.73,0.278,0.022
2019,Guayas,Microempresa,12217885.17,14529252.87,2488396.44,-0.189,0.204
2019,Guayas,Pequeña,155623103.02,107842705.76,9942620.48,0.307,0.064
2019,Pichincha,Grande,5450016300.19,3811033659.69,232140100.32999998,0.301,0.043
2019,Pichincha,Mediana,348403613.05,216077743.89,10710534.01,0.38,0.031
2019,Pichincha,Microempresa,8414222.63,12014696.06,1357290.79,-0.428,0.161
2019,Pichincha,Pequeña,128587774.1,90190655.0,4507914.6,0.299,0.035
2020,Guayas,Grande,3754849598.13,2744971055.92,-115702357.39,0.269,-0.031
2020,Guayas,Mediana,452596227.24,329583824.82,-57613075.07,0.272,-0.127
2020,Guayas,Microempresa,14926035.15,8403537.21,2150787.92,0.437,0.144
2020,Guayas,Pequeña,152766141.61,91988287.09,-25007511.45,0.398,-0.164
2020,Pichincha,Grande,4940142513.9,3460759310.04,30222038.410000004,0.299,0.006
2020,Pichincha,Mediana,369596650.51,227256897.59,-62010032.75,0.385,-0.168
2020,Pichincha,Microempresa,10666344.1,6186957.86,-4422908.2,0.42,-0.415
2020,Pichincha,Pequeña,129870590.47,72407798.44,-23817489.18,0.442,-0.183
2021,Guayas,Grande,4529649014.3,3364820695.84,-383439.120000002,0.257,-0.0
2021,Guayas,Mediana,448303370.21,316158403.87,-69965702.75,0.295,-0.156
2021,Guayas,Microempresa,15439965.99,6805589.57,3951969.7900000014,0.559,0.256
2021,Guayas,Pequeña,181728608.87,108811154.9,-22769252.259999998,0.401,-0.125
2021,Pichincha,Grande,5283321854.11,3798110565.96,-162153143.99,0.281,-0.031
2021,Pichincha,Mediana,359733613.05,224347892.9,-61093975.809999995,0.376,-0.17
2021,Pichincha,Microempresa,11539096.53,5440563.32,-3486967.2,0.529,-0.302
2021,Pichincha,Pequeña,146131529.7,80737089.74,-22050958.18,0.448,-0.151
2022,Guayas,Grande,6342134253.83,4807607184.84,164036898.32,0.242,0.026
2022,Guayas,Mediana,452554487.12,324592536.95,9276401.56,0.283,0.02
2022,Guayas,Microempresa,17124710.65,11214299.61,2960327.5300000003,0.345,0.173
2022,Guayas,Pequeña,187399950.55,98856455.39,7621296.43,0.472,0.041
2022,Pichincha,Grande,5837535731.07,4358295688.29,217532179.44,0.253,0.037
2022,Pichincha,Mediana,346144728.69,234420217.33,3571640.6999999997,0.323,0.01
2022,Pichincha,Microempresa,14847577.33,7192955.75,-3269605.12,0.516,-0.22
2022,Pichincha,Pequeña,163522725.99,94068405.67,3148829.35,0.425,0.019
