Año,Ciiu_n3,Categoria,Descripcion,Ventas_Mill_USD
2019,G471,Retail,En comercios no especializados.,6216.92
2019,G472,Retail,"De alimentos, bebidas y tabaco en comercios especializados.",93.13
2019,G473,Retail,De combustibles para vehículos automotores en comercios especializados.,1687.79
2019,G474,Retail,De equipo de información y de comunicaciones en comercios especializados.,430.27
2019,G475,Retail,De otros enseres domésticos en comercios especializados.,1121.8
2019,G476,Retail,De productos culturales y recreativos en comercios especializados.,279.81
2019,G477,Retail,De otros productos en comercios especializados.,2229.74
2019,G478,Retail,En puestos de venta y mercados.,87.61
2019,G479,Retail,"No realizada en comercios, puestos de venta o mercados.",38.74
2020,G471,Retail,En comercios no especializados.,6114.43
2020,G472,Retail,"De alimentos, bebidas y tabaco en comercios especializados.",78.72
2020,G473,Retail,De combustibles para vehículos automotores en comercios especializados.,1326.84
2020,G474,Retail,De equipo de información y de comunicaciones en comercios especializados.,467.47
2020,G475,Retail,De otros enseres domésticos en comercios especializados.,914.38
2020,G476,Retail,De productos culturales y recreativos en comercios especializados.,174.21
2020,G477,Retail,De otros productos en comercios especializados.,1816.85
2020,G478,Retail,En puestos de venta y mercados.,67.19
2020,G479,Retail,"No realizada en comercios, puestos de venta o mercados.",76.34
2021,G471,Retail,En comercios no especializados.,6189.3
2021,G472,Retail,"De alimentos, bebidas y tabaco en comercios especializados.",81.73
2021,G473,Retail,De combustibles para vehículos automotores en comercios especializados.,2003.63
2021,G474,Retail,De equipo de información y de comunicaciones en comercios especializados.,541.43
2021,G475,Retail,De otros enseres domésticos en comercios especializados.,1164.8
2021,G476,Retail,De productos culturales y recreativos en comercios especializados.,239.08
2021,G477,Retail,De otros productos en comercios especializados.,2322.67
2021,G478,Retail,En puestos de venta y mercados.,81.44
2021,G479,Retail,"No realizada en comercios, puestos de venta o mercados.",58.76
2022,G471,Retail,En comercios no especializados.,6983.22
2022,G472,Retail,"De alimentos, bebidas y tabaco en comercios especializados.",84.76
2022,G473,Retail,De combustibles para vehículos automotores en comercios especializados.,2453.75
2022,G474,Retail,De equipo de información y de comunicaciones en comercios especializados.,473.04
2022,G475,Retail,De otros enseres domésticos en comercios especializados.,1444.04
2022,G476,Retail,De productos culturales y recreativos en comercios especializados.,295.57
2022,G477,Retail,De otros productos en comercios especializados.,3416.83
2022,G478,Retail,En puestos de venta y mercados.,91.45
2022,G479,Retail,"No realizada en comercios, puestos de venta o mercados.",71.28
